age_band,E14001376
Aged 15 years and under,19.0
Aged 16 to 24 years,8.9
Aged 25 to 34 years,12.5
Aged 35 to 49 years,20.1
Aged 50 to 64 years,20.7
Aged 65 years and over,19.0
