age_band,W07000108
Aged 15 years and under,16.6
Aged 16 to 24 years,17.1
Aged 25 to 34 years,13.4
Aged 35 to 49 years,17.4
Aged 50 to 64 years,17.8
Aged 65 years and over,17.6
