age_band,E14001081
Aged 15 years and under,15.6
Aged 16 to 24 years,10.5
Aged 25 to 34 years,29.5
Aged 35 to 49 years,22.2
Aged 50 to 64 years,13.7
Aged 65 years and over,8.6
