age_band,E14001125
Aged 15 years and under,18.3
Aged 16 to 24 years,8.8
Aged 25 to 34 years,12.3
Aged 35 to 49 years,19.1
Aged 50 to 64 years,20.8
Aged 65 years and over,20.7
