age_band,E14001278
Aged 15 years and under,20.5
Aged 16 to 24 years,8.9
Aged 25 to 34 years,14.7
Aged 35 to 49 years,21.3
Aged 50 to 64 years,18.8
Aged 65 years and over,15.8
