age_band,E14001530
Aged 15 years and under,14.8
Aged 16 to 24 years,7.8
Aged 25 to 34 years,9.5
Aged 35 to 49 years,15.4
Aged 50 to 64 years,22.7
Aged 65 years and over,29.8
