age_band,E14001110
Aged 15 years and under,20.9
Aged 16 to 24 years,10.3
Aged 25 to 34 years,12.7
Aged 35 to 49 years,19.3
Aged 50 to 64 years,18.7
Aged 65 years and over,18.1
