age_band,W07000092
Aged 15 years and under,20.4
Aged 16 to 24 years,10.1
Aged 25 to 34 years,14.1
Aged 35 to 49 years,20.1
Aged 50 to 64 years,18.9
Aged 65 years and over,16.3
