age_band,E14001420
Aged 15 years and under,15.5
Aged 16 to 24 years,20.3
Aged 25 to 34 years,14.0
Aged 35 to 49 years,16.9
Aged 50 to 64 years,16.6
Aged 65 years and over,16.8
