age_band,E14001604
Aged 15 years and under,14.0
Aged 16 to 24 years,23.2
Aged 25 to 34 years,15.4
Aged 35 to 49 years,17.5
Aged 50 to 64 years,16.1
Aged 65 years and over,13.8
