age_band,E14001289
Aged 15 years and under,20.1
Aged 16 to 24 years,8.2
Aged 25 to 34 years,12.4
Aged 35 to 49 years,22.0
Aged 50 to 64 years,19.8
Aged 65 years and over,17.4
