age_band,E14001064
Aged 15 years and under,17.8
Aged 16 to 24 years,9.0
Aged 25 to 34 years,11.5
Aged 35 to 49 years,17.8
Aged 50 to 64 years,21.2
Aged 65 years and over,22.8
