age_band,E14001279
Aged 15 years and under,20.8
Aged 16 to 24 years,11.5
Aged 25 to 34 years,17.3
Aged 35 to 49 years,23.0
Aged 50 to 64 years,15.8
Aged 65 years and over,11.6
