age_band,W07000098
Aged 15 years and under,18.1
Aged 16 to 24 years,9.1
Aged 25 to 34 years,11.8
Aged 35 to 49 years,17.4
Aged 50 to 64 years,21.2
Aged 65 years and over,22.5
