age_band,E14001480
Aged 15 years and under,20.1
Aged 16 to 24 years,9.8
Aged 25 to 34 years,14.1
Aged 35 to 49 years,19.3
Aged 50 to 64 years,19.0
Aged 65 years and over,17.7
