age_band,E14001132
Aged 15 years and under,19.1
Aged 16 to 24 years,10.5
Aged 25 to 34 years,19.1
Aged 35 to 49 years,22.8
Aged 50 to 64 years,15.9
Aged 65 years and over,12.6
