age_band,E14001353
Aged 15 years and under,17.8
Aged 16 to 24 years,30.3
Aged 25 to 34 years,18.1
Aged 35 to 49 years,16.9
Aged 50 to 64 years,11.0
Aged 65 years and over,5.8
