age_band,E14001213
Aged 15 years and under,24.4
Aged 16 to 24 years,13.1
Aged 25 to 34 years,16.4
Aged 35 to 49 years,23.7
Aged 50 to 64 years,14.6
Aged 65 years and over,7.8
