age_band,E14001483
Aged 15 years and under,18.7
Aged 16 to 24 years,8.8
Aged 25 to 34 years,13.1
Aged 35 to 49 years,19.2
Aged 50 to 64 years,20.9
Aged 65 years and over,19.2
